county,district_id,district_name,institution_id,institution_name,institution_type,subgroup_type,subgroup,approaches_total,approaches_n,math_number,math_n,literacy_letter_sound,literacy_letter_sound_n,year
Multnomah,2183,Gresham-Barlow SD 10J,91,Deep Creek Elementary School,School,Total Population,Total Population,2.8,26,7.3,23,7.9,24,2013-2014
Multnomah,2180,Portland SD 1J,822,Abernethy Elementary School,School,Total Population,Total Population,3.6,94,10.1,93,13.5,93,2013-2014
Multnomah,2180,Portland SD 1J,823,Ainsworth Elementary School,School,Total Population,Total Population,3.7,65,10.7,87,14.4,88,2013-2014
Multnomah,2180,Portland SD 1J,824,Alameda Elementary School,School,Total Population,Total Population,3.9,109,9.8,127,12.3,128,2013-2014
Multnomah,2180,Portland SD 1J,826,Arleta Elementary School,School,Total Population,Total Population,4,70,8.7,63,5.7,69,2013-2014
Multnomah,2180,Portland SD 1J,827,Astor Elementary School,School,Total Population,Total Population,4.3,75,9.3,73,9.1,75,2013-2014
Multnomah,2180,Portland SD 1J,828,Atkinson Elementary School,School,Total Population,Total Population,3.7,58,9.9,58,9.3,59,2013-2014
Multnomah,2180,Portland SD 1J,829,Rosa Parks Elementary School,School,Total Population,Total Population,3.7,67,7.4,61,6.5,67,2013-2014
Multnomah,2180,Portland SD 1J,830,Beach Elementary School,School,Total Population,Total Population,3.9,89,9.3,86,9.1,86,2013-2014
Multnomah,2180,Portland SD 1J,833,Boise-Eliot Elementary School,School,Total Population,Total Population,3.6,72,8.6,71,9.7,73,2013-2014
Multnomah,2180,Portland SD 1J,834,Bridger Elementary School,School,Total Population,Total Population,4,67,8.8,66,7.3,67,2013-2014
Multnomah,2180,Portland SD 1J,835,Bridlemile Elementary School,School,Total Population,Total Population,4.1,54,8.9,53,10.2,55,2013-2014
Multnomah,2180,Portland SD 1J,837,Buckman Elementary School,School,Total Population,Total Population,3.4,85,9,84,10.8,85,2013-2014
Multnomah,2180,Portland SD 1J,838,Capitol Hill Elementary School,School,Total Population,Total Population,4.2,48,9.5,69,9.7,69,2013-2014
Multnomah,2180,Portland SD 1J,839,Chapman Elementary School,School,Total Population,Total Population,3.8,98,9.4,95,10.5,95,2013-2014
Multnomah,2180,Portland SD 1J,840,Chief Joseph Elementary School,School,Total Population,Total Population,3.6,86,9,81,9.7,82,2013-2014
Multnomah,2180,Portland SD 1J,841,César Chávez K-8 School,School,Total Population,Total Population,3.7,66,7.5,65,6.5,65,2013-2014
Multnomah,2180,Portland SD 1J,842,Harrison Park School,School,Total Population,Total Population,4,73,7.9,75,3.6,75,2013-2014
Multnomah,2180,Portland SD 1J,843,Creston Elementary School,School,Total Population,Total Population,3.8,52,9.7,49,10.6,51,2013-2014
Multnomah,2180,Portland SD 1J,844,Duniway Elementary School,School,Total Population,Total Population,3.9,63,9.5,62,14.8,62,2013-2014
Multnomah,2180,Portland SD 1J,847,Faubion Elementary School,School,Total Population,Total Population,3.2,63,8.6,60,9.9,63,2013-2014
Multnomah,2180,Portland SD 1J,850,Glencoe Elementary School,School,Total Population,Total Population,4.1,80,9.8,80,8.6,80,2013-2014
Multnomah,2180,Portland SD 1J,854,Grout Elementary School,School,Total Population,Total Population,3.6,76,8.4,77,9.5,77,2013-2014
Multnomah,2180,Portland SD 1J,855,Hayhurst Elementary School,School,Total Population,Total Population,3.3,52,9.9,52,13.5,53,2013-2014
Multnomah,2180,Portland SD 1J,857,Beverly Cleary School,School,Total Population,Total Population,3.4,117,9.8,117,10.5,118,2013-2014
Multnomah,2180,Portland SD 1J,861,Irvington Elementary School,School,Total Population,Total Population,4.3,46,10.6,45,15,46,2013-2014
Multnomah,2180,Portland SD 1J,862,James John Elementary School,School,Total Population,Total Population,3.5,81,7.9,79,7.8,83,2013-2014
Multnomah,2180,Portland SD 1J,864,Kelly Elementary School,School,Total Population,Total Population,3.7,121,6.8,118,2.4,126,2013-2014
Multnomah,2180,Portland SD 1J,866,King Elementary School,School,Total Population,Total Population,3.5,53,7.5,54,4.7,55,2013-2014
Multnomah,2180,Portland SD 1J,868,Laurelhurst Elementary School,School,Total Population,Total Population,3.9,75,11.1,74,14.2,75,2013-2014
Multnomah,2180,Portland SD 1J,869,Lee Elementary School,School,Total Population,Total Population,3.7,45,9,44,6.5,44,2013-2014
Multnomah,2180,Portland SD 1J,870,Lent Elementary School,School,Total Population,Total Population,3.8,76,8.2,73,2.4,75,2013-2014
Multnomah,2180,Portland SD 1J,871,Lewis Elementary School,School,Total Population,Total Population,3.8,56,9.1,54,8.1,54,2013-2014
Multnomah,2180,Portland SD 1J,872,Llewellyn Elementary School,School,Total Population,Total Population,4.1,74,8.8,74,9.1,74,2013-2014
Multnomah,2180,Portland SD 1J,873,Maplewood Elementary School,School,Total Population,Total Population,3.6,57,8.9,56,9.1,56,2013-2014
